
country,area,two_thousand_area,two_thousand_percent,two_thousand_ten_area,two_thousand_ten_percent,delta_area,delta_percent
Afghanistan,64385715,205791,0.3196221397867524,71797,0.11151075980130065,133994,0.20811137998545173
Akrotiri and Dhekelia,23448,456,1.9447287615148414,383,1.6334015694302286,73,0.31132719208461274
Albania,2873537,648680,22.574269967639186,589017,20.49797862355696,59663,2.0762913440822235
Algeria,230804377,1223621,0.5301550238798114,821606,0.35597505154765763,402015,0.17417997233215382
Andorra,45196,19004,42.0479688468006,18962,41.95504026905036,42,0.09292857775024338
Angola,124742298,55292492,44.3253755033437,53847201,43.16675407086055,1445291,1.15862143248315
Anguilla,8332,2126,25.516082573211715,1391,16.69467114738358,735,8.821411425828133
Antigua and Barbuda,43576,19323,44.3432164494217,19976,45.84174775105563,-653,-1.498531301633927
Argentina,278010122,39086979,14.059552479171963,38380241,13.805339432928992,706738,0.254213046242971
Armenia,2969009,336842,11.345267057122427,248992,8.386367303029395,87850,2.958899754093032
Aruba,18198,25,0.13737773381690296,24,0.13188262446422683,1,0.005495109352676118
Australia,768791340,42280598,5.499619441602971,39480481,5.135396166143079,2800117,0.3642232754598927
Austria,8385802,4336043,51.70695659162952,4348982,51.861253103757996,-12939,-0.1542965121284762
Azerbaijan,8623533,1268610,14.711023892411614,1082394,12.551630520808583,186216,2.159393371603031
Bahamas,1338763,303575,22.67578354047729,344168,25.70791095959479,-40593,-3.032127419117499
Bahrain,71518,0,0,0,0,0,0
Bangladesh,13938437,1938958,13.910871068255357,2216745,15.90382766733458,-277787,-1.9929565990792224
Barbados,43466,5230,12.032393134864032,6351,14.611420420558597,-1121,-2.5790272856945657
Belarus,20706912,9118586,44.036435756331024,9486572,45.81355249879847,-367986,-1.7771167424674428
Belgium,3070744,865426,28.182941984092455,890289,28.992615470387634,-24863,-0.809673486295178
Belize,2198946,1748276,79.50518111859046,1751344,79.64470250747404,-3068,-0.1395213888835833
Benin,11542318,168568,1.4604345504949698,435563,3.773618089537994,-266995,-2.313183539043024
Bermuda,6808,605,8.886603995299648,780,11.457109283196239,-175,-2.570505287896592
Bhutan,3876296,2577235,66.48705362026017,2508703,64.7190771808964,68532,1.7679764393637638
Bolivia,108339285,64521463,59.55500167829241,62714153,57.88680717248595,1807310,1.668194505806458
